[COMPONENTS]
@C1
demo__age_at_index: NUMBER | The patient's age (in years) on the reference or anchor date date used during date obfuscation.
BitsStored: NUMBER | Bits Stored. Examples: 8, 10, 12, 13, 14, 15, 16
BodyPartExamined: TEXT | Body Part Examined. Examples: BRAIN, BLADDER, COLON, CHEST, LUNG, PROSTRATE
Columns: NUMBER | Columns. Examples: 128, 256, 64, 160
ContentDate: NUMBER | Content Date. Example: 20061117
ContentTime: FLOAT | Content Time. Example: 100545.0
DCMFileName: TEXT | DCM FileName. Examples: 058.dcm, 273.dcm, 1203.dcm, 093.dcm
FlipAngle: FLOAT | Flip Angle. This term,also called tip angle, is the amount of rotation the net magnetization (M) experiences during application of a radiofrequency (RF) pulse.Examples: 90.0, 30.0, 45.0
FrameofReferenceUID: TEXT | Frame of Reference UID. Example: 1.3.6.1.4.1.14519.5.2.1.4591.4001.225385959842816639120045422800
InstanceNumber: NUMBER | Instance Number. Examples: 28, 35, 236, 195, 143
Manufacturer: TEXT | Manufacturer. Examples: SIEMENS, GE MEDICAL SYSTEMS
ManufacturerModelName: TEXT | Manufacturer Model Name. Examples: DS, T5, 962, HFH
Modality: TEXT | Modality. Examples: MR, DT, PT, OT, CTPT, DX, NM
MRAcquisitionType: TEXT | MR Acquisition Type.Either 2D or 3D (or null)
PatientAge: NUMBER | Patient Age. Examples: 52, 60, 65, 70 (or null)
PatientID: TEXT | Patient ID. Example: TCGA-08-0352
PatientIdentityRemoved: TEXT | Patient Identity Removed. Will always be YES
PatientPosition: TEXT | Patient Position. Examples: HFS, FFS, HFP, FFP, HFDL, FFDL, FF_SUPINE, FFDR, FF_DEC RIGHT
PatientSex: TEXT | Patient Sex. Either M, F, or null
PatientWeight: FLOAT | Patient Weight. Examples: 91.0, 127.0, 53.118
PerformedProcedureStepDescription: TEXT | Performed Procedure Step Description. Examples: MRI BRAIN W/ENHANCEMENT, IC MRI ABD WO+W CON
PhotometricInterpretation: TEXT | Photometric Interpretation. Either MONOCHROME2, RGB, or MONOCHROME1
PixelRepresentation: NUMBER | Pixel Representation. Either 0 or 1
PositionReferenceIndicator: TEXT | Position Reference Indicator. Examples:NA, SN, Orbitial Meatal Line, FE, AX, 000011248, OM, V, Sternal Notch, RENAL PROTOCOL 2.5MM, VX, IC, MC, BS, UM< VT
ProtocolName: TEXT | Protocol Name. Examples: TVP EXCITE SURGICAL/9, TVP Surgical/, ROUTINE BRAIN/
ReconstructionDiameter: FLOAT | Reconstruction Diameter. Examples: 160.0, 222.0, 500.0, 700.00 (may be null)
RepetitionTime: FLOAT | Repetition Time. The repetition time (TR) is the length of time between corresponding consecutive points on a repeating series of pulses and echoes.Examples: 1700.00, 4000.0, 23.1, 466.664
Rows: NUMBER | Rows. Example: 128
SeriesDate: NUMBER | Series Date. Example: 20030713
SeriesDescription: TEXT | Series Description. Examples: AXIAL FSE, SAG T1 (FLAIR), COR T1 POST GD FLAIR, Exponential Apparent Diffusio
SeriesInstanceUID: TEXT | Series Instance UID. Example: 1.2.826.0.1.3680043.2.1322.2.2837147000.102512129439.0
SeriesNumber: NUMBER | Series Number. Examples: 800, 501, 15, 362
SeriesTime: FLOAT | Series Time. Examples: 92042.0, 121428.0. (may be null)
SliceThickness: FLOAT | Slice Thickness.This is an MRI term for the thickness of an imaging slice. Because slice profiles are not sharply edged, the distance between the points at half the sensitivity of the maximum (full width at half maximum) is used to determine thickness. Examples: 5.0, 6.0, 10.0, 15.0. 40.0. See https://www.materialise.com/en/faq/what-difference-between-slice-thickness-and-slice-increment
SOPClassUID: TEXT | SOP Class UID. Examples: MR Image Storage, Nuclear Medicine Image Storage, Positron Emission Tomography Image Storage, CT Image Storage, Digital Mammography X-Ray Image Storage - For Processing
SOPInstanceUID: TEXT | SOP Instance UID. Example: 1.3.6.1.4.1.14519.5.2.1.6450.4007.621199411198673382052605519396
SpacingBetweenSlices: FLOAT | Spacing Between Slices. DICOM has an attribute called Spacing Between Slices (0018, 0088) that gives the distance between two adjacent slices (perpendicular to the image plane) and it also has an attribute called Slice Thickness (0018, 0050) that gives the thickness of the imaged slice (the image plane exists at the center of the slice, with half of the volume above the plane and half below). Image Position (Patient) (0020, 0032) and Image Orientation (Patient) (0020, 0037) are also useful attributes for computing spatial relationships between slices. For a more detailed explanation, see section C.7.6.2 of part 3 of the DICOM standard. (p. 409) WARNING: Please be aware that different vendors use the same dicom tags for addressing different things. For instance, the attribute Spacing Between Slices (0018, 0088) means two different things depending on the vendor.Examples: 4.5, 6.0, 7.5, 12.0. 69.2, 5.1
StudyDate: NUMBER | Study Date. Example: 20001225
StudyDescription: TEXT | Study Description. Examples: CT CHEST ABD PELVIS W/ CONTR, PET,HEAD & NECK CA RES
StudyInstanceUID: TEXT | StudyInstanceUID. Example: 1.3.6.1.4.1.14519.5.2.1.7695.4001.163028456110647174493384721797
StudyTime: FLOAT | Study Time. Examples: 144532.0, 144530.0
ZipFileName: TEXT | Zip File Name. Example: gs://isb-tcia-open/images/TCGA-GBM/TCGA-06-0137/TCIA.image.1.2.826.0.1.3680043.2.1322.2.2834599022.102511191651.0.zip

@C16
anatomic_neoplasm_subdivision: TEXT | The spatial location, subdivisions and/or atomic site name of a tumor; e.g. Rectum, Larynx, Tonsil, etc.
bmi: FLOAT | Body Mass Index of participant
clinical_M: TEXT | The clinical M score is a rating of metastasis, that is, how much cancer has spread to distant sites. It is based on results of tests done before surgery, such as physical exams and imaging scans; e.g. MX, M0, M1
clinical_N: TEXT | The clinical N score is a rating of the extent of cancer within nearby lymph nodes, based on results of tests done before surgery, such as physical exams and imaging scans; e.g. N1, N2, N3
clinical_stage: TEXT | The stage of the cancer, based on results of tests done before surgery, such as physical exams and imaging scans; e.g. Stage I, Stage II, Stage III, Stage IV
clinical_T: TEXT | The clinical T score is a rating of the extent of the primary tumor, based on results of tests done before surgery, such as physical exams and imaging scans; e.g. T1, T2, T3, T4
colorectal_cancer: TEXT | Indicates whether the participant has colorectal cancer; e.g. Yes, No
country: TEXT | Country of the participant; e.g. Germany, United States, Canada, etc.
days_to_initial_pathologic_diagnosis: NUMBER | The number of days to initial pathologic diagnosis
days_to_last_followup: NUMBER | If vital_status indicates 'alive', then this is the number of days from the date of diagnosis to the last followup (communication contact).
days_to_last_known_alive: NUMBER | Number of days from the date of diagnosis to the last day on which a person was known to be alive. This field is a combination of the days_to_last_followup and days_to death fields. Therefore, this field can be used whether the vital_status is 'alive' or 'dead'.
h_pylori_infection: TEXT | Indicator of previous or current diagnosis of Helicobactor pylori infection; e.g. Yes, No, Never, Current
histological_type: TEXT | The histological type of cancer; e.g. Adenosquamous, Astrocytoma, etc.
history_of_colon_polyps: TEXT | Indicator if the participant had a previous history of colon polyps as noted in the history/physical or previous endoscopic report(s); e.g. Yes, No
history_of_neoadjuvant_treatment: TEXT | Describes the patient's history of neoadjuvant treatment and the kind of treament given prior to resection of the tumor; e.g. Yes, Pharmaceutical Treatment Prior to Resection, etc.
hpv_calls: TEXT | HPV strains; e.g. HPV18, HPV45, etc.
icd_10: TEXT | Alphanumeric value used to describe the disease code from the tenth version of the International Classification of Disease (ICD-10)
icd_o_3_histology: TEXT | Code that represents the histology of the disease using the third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms
icd_o_3_site: TEXT | Code that represents the site of the disease using the third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms
lymphatic_invasion: TEXT | Indicator if small or thin-walled vessel invasion is present, indicating lymphatic involvement; e.g. Yes, No
lymphnodes_examined: TEXT | Indicator whether the lymph nodes were examined; e.g. Yes, No
lymphovascular_invasion_present: TEXT | Indicator if  invasion of a cancer to the blood vessels and/or lymphatics invasion is present; e.g. Yes, No
menopause_status: TEXT | A female participant's menopausal status; e.g. Post, Pre, Indeterminate, Peri
mononucleotide_and_dinucleotide_marker_panel_analysis_status: TEXT | Status of the mononucleotide and dinucleotide marker panel analysis; microsatellite-stable (MSS), low level MSI (MSI-L) if less than 40% of markers were altered and high level MSI (MSI-H) if greater than 40% of markers were altered
neoplasm_histologic_grade: TEXT | Rating which expresses the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness; e.g. G1, G2, G3, G4
number_of_lymphnodes_examined: NUMBER | The number of lymph nodes examined
other_dx: TEXT | Indicator and type of other diagnosis; e.g. No; Yes, History of Prior Malignancy; Yes, History of Synchronous/Bilateral Malignancy; Both History of Synchronous/Bilateral and Prior Malignancy
